"Order_ID";"Customer_ID";"Customer_Name";"country";"state";"city";"Order_Date";"Ship_Date";"Ship_Mode";"Segment";"Postal_code";"Region";"Product_ID";"Category";"Sub_Category";"Product_Name";"Quantity";"Discount";"sales";"cost";"Profit"
"CA-2016-152156";"CG-12520";"Claire Gute";"United States";"Kentucky";"Henderson";"2016-11-08";"2016-11-11";"Second Class";"Consumer";42420;"South";"FUR-BO-10001798";"Furniture";"Bookcases";"Bush Somerset Collection Bookcase";2;0.0;"261.96";"220.05";41.91
"CA-2016-152156";"CG-12520";"Claire Gute";"United States";"Kentucky";"Henderson";"2016-11-08";"2016-11-11";"Second Class";"Consumer";42420;"South";"FUR-CH-10000454";"Furniture";"Chairs";"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back";3;0.0;"731.94";"512.36";219.58
"CA-2016-138688";"DV-13045";"Darrin Van Huff";"United States";"California";"Los Angeles";"2016-06-12";"2016-06-16";"Second Class";"Corporate";90036;"West";"OFF-LA-10000240";"Office Supplies";"Labels";"Self-Adhesive Address Labels for Typewriters by Universal";2;0.0;"14.62";"7.75";6.87
"US-2015-108966";"SO-20335";"Sean O'Donnell";"United States";"Florida";"Fort Lauderdale";"2015-10-11";"2015-10-18";"Standard Class";"Consumer";33311;"South";"FUR-TA-10000577";"Furniture";"Tables";"Bretford CR4500 Series Slim Rectangular Table";5;0.45;"957.58";"1340.61";-383.03
"US-2015-108966";"SO-20335";"Sean O'Donnell";"United States";"Florida";"Fort Lauderdale";"2015-10-11";"2015-10-18";"Standard Class";"Consumer";33311;"South";"OFF-ST-10000760";"Office Supplies";"Storage";"Eldon Fold 'N Roll Cart System";2;0.2;"22.37";"19.85";2.52
"CA-2014-115812";"BH-11710";"Brosina Hoffman";"United States";"California";"Los Angeles";"2014-06-09";"2014-06-14";"Standard Class";"Consumer";90032;"West";"FUR-FU-10001487";"Furniture";"Furnishings";"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood";7;0.0;"48.86";"34.69";14.17
"CA-2014-115812";"BH-11710";"Brosina Hoffman";"United States";"California";"Los Angeles";"2014-06-09";"2014-06-14";"Standard Class";"Consumer";90032;"West";"OFF-AR-10002833";"Office Supplies";"Art";"Newell 322";4;0.0;"7.28";"5.31";1.97
"CA-2014-115812";"BH-11710";"Brosina Hoffman";"United States";"California";"Los Angeles";"2014-06-09";"2014-06-14";"Standard Class";"Consumer";90032;"West";"TEC-PH-10002275";"Technology";"Phones";"Mitel 5320 IP Phone VoIP phone";6;0.2;"907.15";"816.44";90.72
"CA-2014-115812";"BH-11710";"Brosina Hoffman";"United States";"California";"Los Angeles";"2014-06-09";"2014-06-14";"Standard Class";"Consumer";90032;"West";"OFF-BI-10003910";"Office Supplies";"Binders";"DXL Angle-View Binders with Locking Rings by Samsill";3;0.2;"18.5";"12.72";5.78
"CA-2014-115812";"BH-11710";"Brosina Hoffman";"United States";"California";"Los Angeles";"2014-06-09";"2014-06-14";"Standard Class";"Consumer";90032;"West";"OFF-AP-10002892";"Office Supplies";"Appliances";"Belkin F5C206VTEL 6 Outlet Surge";5;0.0;"114.9";"80.43";34.47
"CA-2014-115812";"BH-11710";"Brosina Hoffman";"United States";"California";"Los Angeles";"2014-06-09";"2014-06-14";"Standard Class";"Consumer";90032;"West";"FUR-TA-10001539";"Furniture";"Tables";"Chromcraft Rectangular Conference Tables";9;0.2;"1706.18";"1620.87";85.31
"CA-2014-115812";"BH-11710";"Brosina Hoffman";"United States";"California";"Los Angeles";"2014-06-09";"2014-06-14";"Standard Class";"Consumer";90032;"West";"TEC-PH-10002033";"Technology";"Phones";"Konftel 250 Conference phone - Charcoal black";4;0.2;"911.42";"843.07";68.36
"CA-2017-114412";"AA-10480";"Andrew Allen";"United States";"North Carolina";"Concord";"2017-04-15";"2017-04-20";"Standard Class";"Consumer";28027;"South";"OFF-PA-10002365";"Office Supplies";"Paper";"Xerox 1967";3;0.2;"15.55";"10.11";5.44
"CA-2016-161389";"IM-15070";"Irene Maddox";"United States";"Washington";"Seattle";"2016-12-05";"2016-12-10";"Standard Class";"Consumer";98103;"West";"OFF-BI-10003656";"Office Supplies";"Binders";"Fellowes PB200 Plastic Comb Binding Machine";3;0.2;"407.98";"275.38";132.59
"US-2015-118983";"HP-14815";"Harold Pawlan";"United States";"Texas";"Fort Worth";"2015-11-22";"2015-11-26";"Standard Class";"Home Office";76106;"Central";"OFF-AP-10002311";"Office Supplies";"Appliances";"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter";5;0.8;"68.81";"192.67";-123.86
"US-2015-118983";"HP-14815";"Harold Pawlan";"United States";"Texas";"Fort Worth";"2015-11-22";"2015-11-26";"Standard Class";"Home Office";76106;"Central";"OFF-BI-10000756";"Office Supplies";"Binders";"Storex DuraTech Recycled Plastic Frosted Binders";3;0.8;"2.54";"6.36";-3.82
"CA-2014-105893";"PK-19075";"Pete Kriz";"United States";"Wisconsin";"Madison";"2014-11-11";"2014-11-18";"Standard Class";"Consumer";53711;"Central";"OFF-ST-10004186";"Office Supplies";"Storage";"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""""W x 18 1/2""""D""";6;0.0;"665.88";"652.56";13.32
"CA-2014-167164";"AG-10270";"Alejandro Grove";"United States";"Utah";"West Jordan";"2014-05-13";"2014-05-15";"Second Class";"Consumer";84084;"West";"OFF-ST-10000107";"Office Supplies";"Storage";"Fellowes Super Stor/Drawer";2;0.0;"55.5";"45.51";9.99
"CA-2014-143336";"ZD-21925";"Zuschuss Donatelli";"United States";"California";"San Francisco";"2014-08-27";"2014-09-01";"Second Class";"Consumer";94109;"West";"OFF-AR-10003056";"Office Supplies";"Art";"Newell 341";2;0.0;"8.56";"6.08";2.48
"CA-2014-143336";"ZD-21925";"Zuschuss Donatelli";"United States";"California";"San Francisco";"2014-08-27";"2014-09-01";"Second Class";"Consumer";94109;"West";"TEC-PH-10001949";"Technology";"Phones";"Cisco SPA 501G IP Phone";3;0.2;"213.48";"197.47";16.01
"CA-2014-143336";"ZD-21925";"Zuschuss Donatelli";"United States";"California";"San Francisco";"2014-08-27";"2014-09-01";"Second Class";"Consumer";94109;"West";"OFF-BI-10002215";"Office Supplies";"Binders";"Wilson Jones Hanging View Binder, White, 1""""";4;0.2;"22.72";"15.34";7.38
